No.,ID,Vietnames_names,Province,final_lat,final_lon,Giai đoạn 1981-2000,Số năm,Giai đoạn 2011-2020,Số năm.1,elevation,distance_to_coast_km
127,concuong,Con Cuông,Nghệ An,19.05,104.883,1981-2000,20,2011-2020,10,30,77.16566062598129
128,conoi,Cò Nòi,Sơn La,21.133,104.15,1981-2000,20,2011-2020,10,675,230.84863942607234
129,cuacam,Cửa Cấm,Hải Phòng,20.8667,106.6167,1992-2000,9,2011-2020,10,4,8.844207182414655
130,p.cuadattv,Cửa Đạt,Thanh Hóa,19.867,105.283,1981-2000,20,2011-2020,10,46,60.68289604064795
131,p.cuahoitv,Cửa Hội,Nghệ An,18.763,105.723,1981-2000,20,2011-2020,10,8,3.121503276561923
132,cuaong,Cửa Ông,Quảng Ninh,21.017,107.35,1981-2000,20,2011-2020,10,137,0.5649839965666394
133,p.cuchi,Củ Chi,Hồ Chí Minh,10.965,106.485,1981-2000,20,2011-2017,7,15,43.08889966017416
134,cucphuong,Cúc Phương,Ninh Bình,20.25,105.72,,,2011-2020,10,134,42.28668941642432
135,cumong,Cù Mông,Phú Yên,13.666,109.185,1981-2000,20,2011-2017,7,203,3.5386786639683163
136,p.cungsontv,Củng Sơn,Phú Yên,13.05,108.98333,1981-2000,20,2011-2020,10,42,36.3994205321564
137,p.cuthontv,Cụ Thôn,Thanh Hóa,19.989,105.903,1981-2000,20,2011-2020,10,8,8.75049129735738
138,p.daban,Đá Bàn,Khánh Hòa,12.732,109.135,1981-2000,20,2011-2017,7,462,11.656679205295438
139,p.dailoc,Đại Lộc,Hà Tĩnh,18.449,105.785,1981-2000,20,2011-2017,7,11,12.081869901311032
140,daingai,Đại Ngải,Sóc Trăng,9.9324,105.8731,1981-2000,20,2011-2020,10,8,1.0091790808772263
141,p.daitu,Đại Từ,Thái Nguyên,21.632,105.618,1981-2000,20,2011-2017,7,83,125.97448514717257
142,dakdoa,Đăk Đoa,Gia Lai,14.349,108.402,1981-2000,20,2011-2017,7,1167,75.04296501134618
143,dakglei,Đắc Glei,Gia Lai,15.032,107.7518,1981-2000,20,2011-2017,7,731,105.3578963460756
144,dakmil,Đăk Mil,Đắc Nông,12.45,107.617,,,2011-2020,10,736,166.85318987737216
145,daknong,Đắc Nông,Đắc Nông,12.0,107.683,1981-2000,20,2011-2020,10,595,128.3886912804295
